,isfake,title
1107,true,Right now we are at 90 percent health insurance covered. Thats the highest weve ever been in our country.
1108,half-true,Roy Barnes proclaimed Mexican workers good for Georgia.
1109,half-true,Says India gained jobs thanks to Romney.
1110,mostly-true,Only 20 percent of Americans admit to being Republicans anymore.
1111,barely-true,"Its costing every American who is insured $1,100 to pick up the cost of uncompensated care that goes on at the emergency room."
1112,true,The No. 1 cause of death for African-American males15-34 is murder.
1113,mostly-true,The United States has the highest incarceration rate in the world.
1114,mostly-true,The national debt is on track to double during Obamas presidency.
1115,barely-true,I've traveled the country advocating for the FairTax ...
1116,half-true,"Says under Mitt Romney, Massachusetts was 47th in job creation."
1117,half-true,Says Deborah Ross supports the Iran nuclear deal and the ransom it paid for hostages.
1118,false,Says Ron Johnson has essentially done nothing to fight heroin addiction and opioid abuse.
1119,true,"Virginia was named best managed state, best state for business and best state toraise a child while I was governor."
1120,barely-true,The only years that anybodys ever seen of Donald Trumps tax returns showed he didnt pay any federal income tax.
1121,false,Says U.S. House candidate Carlos Curbelo supported raising flood insurance rates.
1122,false,Says some Planned Parenthood chapters have been selling the body parts of aborted fetuses for profit.
1123,half-true,"For middle-class families under the Baucus plan, 13 percent of what they make could be deducted directly from their paychecks . . . the so-called Max Tax."
1124,true,The new 21st State Senate district was created in secret for Van Wanggaard. It was drawn within half a block of his house.
1125,half-true,Says unemployment tripled in Dane County due to Kathleen Falks tax policies
1126,true,"Rhode Islands voter identification law was pushed by a black Democrat in the House, a black Democrat in the Senate. Thats a fact."
1127,true,"Jeff Greene only moved from California to Florida in the last two years. In fact, he would not legally be allowed to run for any other statewide office because he has not lived here long enough to meet the residency requirement."
1128,half-true,"President Obama has increased the federal workforce 192,000 individuals -- about 10 percent since hes taken office -- while weve lost 2 million jobs."
1129,half-true,"Says Alison Lundergan Grimes supports Obamacare, which cuts $700 billion from seniors Medicare."
1130,mostly-true,We borrow money from the Chinese to buy oil from the Saudis.
1131,mostly-true,"Obamacare will provide coverage for abortions, despite the presidents commitment that it would not."
1132,barely-true,Handel endorsed gay adoption in 2003 when she was running for chairwoman of the Fulton County Commission.
1133,false,I did not support the war in Iraq The record shows that Im right.
1134,barely-true,Wendy Davis is the most popular politician in Texas.
1135,pants-fire,President Barack Obama met with Iranian president Hassan Rouhani.
1136,mostly-true,"The church Barack Obama belongs to has a ""nonnegotiable commitment to Africa."""
1137,barely-true,Says he voted to remove Common Core from our schools.
1138,false,Terry McAuliffe has threatened to shut down Virginias government if his budget plan isnt supported.
1139,true,"After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three."
1140,pants-fire,At least 10 ISIS fighters have been caught coming across the Mexican border in Texas and there are dozens more that did not get caught by the Border Patrol.
1141,half-true,Less than half of jobs at the Carrier manufacturing plant in Indiana are actually staying.
1142,true,"Fifty-one percent -- that is, a majority of American households -- paid no income tax in 2009. Zero. Zip. Nada."
1143,false,Says Majority Leader Eric Cantor called for abolishing Social Security and Medicare.
1144,false,I never said that Muslims would be subject to profiling under his policies.
1145,mostly-true,The majority of teams (are) now spending their dollars on the offensive side of the football.
1146,half-true,"Members of Congress ""have not reduced their salaries ... since the Great Depression,"" meaning they've gone ""eight decades without a pay cut."""
1147,barely-true,Says five studies show his tax plan can cut rates and still bring the same revenue without raising taxes on the middle class.
1148,barely-true,"Last week Senator Obama's running mate said, get this, 'Raising taxes is patriotic.' "
1149,mostly-true,"Today, American companies have nearly $2 trillion sitting on their balance sheets."
1150,mostly-true,"Says 31 percent of Texas physicians accept all new Medicaid patients, down from 67 percent in 2000."
1151,false,Says Planned Parenthood CEO Cecile Richards was forced to concede that 86 percent of Planned Parenthoods revenue is from abortion.
1152,true,Georgia spends fewer tourism advertising dollars than any other state in the South.
1153,pants-fire,Obama admits he is not a citizen.
1154,half-true,"Under Lee Fisher Ohio has lost nearly 400,000 jobs."
1155,barely-true,The name Frank has risen in popularity by 20 percent since the debut of House of Cardson Netflix.
1156,mostly-true,Slavery is still allowable under Wisconsin law as long as its a punishment for a crime.
1157,barely-true,President Barack Obama has the power to stop deportation for all undocumented immigrants in this country.
1158,true,Foreign companies in the United States have a significantly higher unionization rate than other companies overall.
1159,mostly-true,Says some Georgians can get health insurance for $105 a month.
1160,half-true,"Says 1,000 World War II veterans die every day."
1161,true,"Federal officials declared that grant funds could be used only for Milwaukees streetcar project, meaning it isnt possible to redirect the money to other modes of public transportation or to our public schools."
1162,mostly-true,"The John McCain Twitter account has more than 1.1 million followers. The official White House Twitter account has only about 830,000."
1163,mostly-true,Ohios Planned Parenthood operations received millions of taxpayer dollars via federal grants in 2010 and 2011.
1164,false,Says President Obamas deal allows Iran to produce a nuclear weapon.
1165,pants-fire,"The stimulus bill includes ""$300,000 for a sculpture garden in Miami."""
1166,half-true,Thomas Jefferson expressed strong support for a balanced budget amendment in 1798.
1167,half-true,"Says Marco Rubio went on Univision, and in Spanish he promised that he would not on the first day in office rescind President Obamas illegal executive action."
1168,half-true,"Under President Obama, U.S. security funding for Israel is at an all-time high."
1169,barely-true,Says state Rep. Sandy Pasch did nothing to stop people from scamming the Wisconsin Shares child-care subsidy program and voted against funding for fraud investigators.
1170,mostly-true,The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.
1171,false,"When the United States ""first created the federal income tax, frankly, nobody below a million dollars a year paid anything."""
1172,mostly-true,Says Milwaukee County Parks director Sue Black has not received a pay raise in five years.
1173,barely-true,"Says Romney wrote in the first edition of his book that his health care plan should be expanded nationwide and then, You took it out of your book."
1174,pants-fire,Says Gov. John Kasich implied that a portion of workers compensation rebates to employers should be directed back to him in the form of campaign cash.
1175,false,We have over 300 state agencies. Forty-five of those agencies are related to health care.
1176,mostly-true,"Says Rep. Bruce Braley, D-Iowa, missed 79 percent of veterans affairs committee hearings."
1177,half-true,NASCAR endorsed Trump
1178,true,Abraham Lincoln visited and some say even danced in (the Ohio Senate) chamber.
1179,false,The premiums on Medicares prescription drug program have fallen almost every year since it began.
1180,true,"When Mitt Romney was governor of Massachusetts, he stood in front of a coal plant and pointed at it and said, This plant kills."
1181,pants-fire,"The Central Falls School system spent $100,000 on a time clock."
1182,half-true,"As the CEO of eBay, ""Whitman started a separate division that only sells porn."""
1183,half-true,"If the mayor were really serious about supporting Phillys schoolchildren and handling our citys looming fiscal crisis, he could begin by slashing the size of his own administration, which is already 45 percent larger than his predecessors and 40 percent more costly."
1184,mostly-true,The top 1/10th of 1 percent today in America owns almost as much wealth as the bottom 90 percent.
1185,mostly-true,75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy.
1186,barely-true,Barnes opposed the creation of the HOPE Scholarship and campaigned against Zell Miller on the issue.
1187,pants-fire,Says Donald Trumps Make America Great Againhats were made in China.
1188,half-true,On changing the rules governing judicial conflicts of interest
1189,true,No other Northeastern state has passed a photo ID law
1190,false,Says government is a barrier to innovation and development.
1191,false,We have a 40 to 50 percent dropout rate in our inner-city schools.
1192,false,"The law says ... when a police officer stops you, do whatever he says and then deal with it later."
1193,mostly-true,Jim Renacci cheated on his income taxes and is a deadbeat citizen.
1194,half-true,Says Gov. Rick Perry was for Wall Street bailout before he was against it.
1195,pants-fire,The National Rifle Association was founded by religious leaders who wanted to protect freed slaves from the Ku Klux Klan.
1196,true,It is legal in Ohio to fire an employee or evict a tenant just for being gay.
1197,barely-true,"Says his hometown of Paint Creek, Texas, doesnt even have a ZIP code."
1198,true,Uber and other ride-share firms are not required to carry auto insurance under Georgia law.
1199,false,"Says Hillary Clinton believes that all abortions should be legal, even on the due date of that unborn child."
1200,barely-true,"The Great Recession emerged in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm."
1201,true,"More than once, Ive actually had a conversation with the protesters on substance."
1202,false,And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state.
1203,barely-true,"Says any attempt to try to compare the Massachusetts health care law with the federal health care law is completely, intellectually dishonest. Governor Romney did not raise one tax in doing what he did."
1204,mostly-true,"Since 2007 David Jolly has given almost $30,000 to keep Democrats in Congress!"
1205,false,Passage of a referendum on an aquarium for Clearwater means NO future funding for our neighborhoods.
1206,mostly-true,Says Texas ranks 44th nationally in education funding per pupil.
1207,mostly-true,Health insurance is more expensive in Massachusetts than anywhere else in the country.
1208,true,"In two years, Gov. McAuliffe has vetoed more bills that the previous three governors issued in each of their four-year terms."
1209,false,Everything I have said (on the campaign trail) has been factually accurate.
1210,mostly-true,"When Honduran children came into this country, Secretary Clinton said send them back."
1211,mostly-true,Says Jeb Bush said low-income women should get their life together and find a husband.
1212,mostly-true,Only about 6.8 percent of the (stimulus) money has actually been spent.
1213,false,10 cents on thedollar from the Clinton Foundation goes to charitable causes.
1214,barely-true,President Obama told people to skip coming here (Las Vegas) for conventions and meetings.
1215,pants-fire,Says John Boehner admits we are not going to be any different than weve been by returning to the same failed economic policies that wrecked our economy.
1216,half-true,Newark is now home to one-third of all commercial and multi-family development.
1217,barely-true,Says Debbie Wasserman Schultz voted repeatedly to send terminally ill patients to prison.
1218,pants-fire,The right-wing extremists are trying to take this seat so they can push their anti-choice and anti-equality agenda through our State House.
1219,mostly-true,We have 50 state lobbyists that just lobby the Legislature for money every year.
1220,mostly-true,"In Atlanta, since 1994 when the Seven Deadly Sins (mandatory minimum sentences) took effect, the violent crime rate has dropped 62 percent."
1221,half-true,"Because of Jim Whelan, the 1990s are the only decade since the 1920s when the population of Atlantic City actually went up."
1222,mostly-true,Says TriMets own analysis shows that YouthPass does not actually add to the transit agencys costs.
1223,barely-true,"John McCain offers ""billions in tax breaks for oil and drug companies, but almost nothing for families like yours."""
1224,true,We adopted the modern Social Security system at a time when the average person died before they were old enough to get Social Security.
1225,true,We are coming up on our 40th anniversary of electing a Republican to the United States Senate. 1972 was the last time New Jersey sent a Republican to the United States Senate.
1226,pants-fire,"Sen. Sherrod Browns vote helped pass Barack Obamas job-killing health care law, which slapped small businesses throughout Ohio with a $500 billion tax increase."
1227,barely-true,"President Obamas budget would call for about $25 trillion in debt by the end of his term, if he was re-elected."
1228,barely-true,We know that Sunday mornings have usually been given over to conservative white men.
1229,false,"Rob Cornilles has been endorsed by 20 local mayors, including Independent, Democratic and Republican."
1230,half-true,Delta has had the most animal deaths among U.S. carriers in the past five years
1231,mostly-true,Republican candidate for governor Karen Handel has run a 100 percent negative campaign.
1232,false,Attorney General Eric Holder is involved in the dismissal of the criminal charges against the New Black Panther Party for voter intimidation
1233,half-true,"Says the state share of Texas public education spending increased 82 percent over the past decade, reaching $20 billion in 2009."
1234,mostly-true,"In Richmond, Va., theres more moving vans coming in than going out."
1235,false,Gov. Chris Christie owes the state money for amenities like extra Gorgonzola cheese for his staff on these trips.
1236,pants-fire,I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.
1237,half-true,"Paul Ryans Medicare plan could raise future retirees costs more than $6,000."
1238,false,"On tax inversions, the Wall Street Journalsurprisingly attacked this tax scheme."
1239,mostly-true,Says Stefani Carter repeatedly used her campaign contributors donations to rent margarita machines for our state house office.
1240,true,You may have driven the length of a football field in the five seconds it takes to check a text.
1241,barely-true,I introduced a bill that wouldve helped stop the multimillion-dollar bonus packages that CEOs grab on their way out.. (McCain) opposed that idea.
1242,barely-true,"There are nearly 500,000 registered sex offenders across the country and at any one time about 100,000 are unaccounted for."
1243,barely-true,The government made accommodation to the Fort Hood shooter to let him grow a beard for religious reasons.
1244,barely-true,"Says under the Affordable Care Act, New Jerseys new (Medicaid) enrollees wont qualify for the matching federal funds simply because we added them onto the rolls before 2014."
1245,barely-true,"Says the Obama administration watered down sanctions against Iran, delayed them and tried to stop Congress from putting the tough sanctions in place."
1246,true,Says Central Texas river water sent to downstream rice farmers in 2011 equaled about three years worth of Austins water use.
1247,false,Wisconsin is one of the few states in the country that do not currently require a photographic identification to vote.
1248,mostly-true,"These 60 acres (the Atlanta Braves want to build a stadium on) have produced zero SPLOST money for parks and recreation, have produced zero money for education."
1249,false,You will learn more about Donald Trump by going down to the Federal Elections to see the financial disclosure form than by looking at tax returns.
1250,true,Cuyahoga County passed a program to guarantee a college savings account for every single child who enters kindergarten in this county -- the first county in the United States to do so.
1251,false,"Over half of the young people in medical, dental and law schools are women."
1252,pants-fire,Ken Block supports Obamacare.
1253,barely-true,Says Hillary Clinton wants to have open borders.
1254,barely-true,GOP candidate for governor Nathan Deal is a former Clinton Democrat.
1255,false,My opponent promises to bring back old jobs by wishing away the global economy.
1256,mostly-true,Kelly Ayotte has voted four times against the federal Paycheck Fairness Act.
1257,mostly-true,One out of every four homeless people on our streets is a veteran.
1258,true,"Its legal to sign a recall petition (against Gov. Scott Walker) even if you have already signed another recall petition, but only one signature counts"
1259,half-true,"Education funding of $7,176 per student is a historic level."
1260,false,I co-sponsored the Rebuild America Jobs Act for transportation and infrastructure.
1261,false,"Says a new report proves the stimulus supported by N.J. Democrats cost $278,000 per job."
1262,pants-fire,Says its absurd to say theres enough data to establish a link between playing football and Chronic Traumatic Encephalopathy.
1263,false,The wives of the 9/11 hijackers knew exactly what was happening and went back to Saudi Arabia two days before the attacks to watch their husbands on television flying the planes.
1264,pants-fire,Says Jill McCabe supports late term abortions. Larger baby parts are more profitable.
1265,false,"Says U.S. Rep. Nancy Pelosi said, Employers cutting hours is a good thing. It then gives that person time to pursue their dreams and passions."
1266,half-true,Florida has a law like (Indianas Religious Freedom Restoration Act).
1267,false,The things I said (during the prank call by a blogger posing as GOP contributor David Koch) are the things Ive said publicly all along about the Wisconsin budget debate.
1268,pants-fire,Say photographs of Hillary Clinton at the debate show what could be an earpiece.
1269,barely-true,Says Joe Biden went to China and said that he sympathized and wouldnt second-guess their one-child policy of forced abortions and sterilizations.
1270,false,On whether to seat Roland Burris as the new senator from Illinois.
1271,pants-fire,2014 Federal Tax Refunds To Be Delayed Until October 2015.
1272,mostly-true,Forty-five states allow open carry of firearms.
1273,false,"Obama ""remains silent"" and ""is never asked how he feels about his church honoring Farrakhan."""
1274,half-true,"When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said no, were building a wall and were deporting everybody. He said, quote, they will all be gone. They will all be gone. This is one of the ones where you can go to the tape on it and see what Donald Trump has said."
1275,half-true,"John Edwards never -- has ever from the beginning of his political career has never taken PAC money or the money of Washington lobbyists. Ever. -Joe Trippi, senior campaign adviser"
1276,mostly-true,"When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine."
1277,half-true,The University of Wisconsin System had a jobs-for-life tenure program for professors.
1278,half-true,"Unemployment among Oregon high school graduates aged 18 to 20 increased more than 200 percent from 2008 to 2011, while the U.S. average increased only 30 percent."
1279,mostly-true,"Hospitals, doctors, MRIs, surgeries and so forth are more extensively used and far more expensive in this country than they are in many other countries.''	health-care	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a Fox News Sunday interview
9874.json	barely-true	Obamacare cuts seniors Medicare.	health-care,medicare	ed-gillespie	Republican strategist	Washington, D.C.	republican	2	3	2	2	1	a campaign email.
3072.json	mostly-true	The refusal of many federal employees to fly coach costs taxpayers $146 million annually.	government-efficiency,transparency	newsmax	Magazine and website	Florida	none	0	0	0	1	0	an e-mail solicitation
2436.json	mostly-true	Florida spends more than $300 million a year just on children repeating pre-K through 3rd grade.	education	alex-sink		Florida	democrat	1	2	2	4	0	figures cites on campaign website
9721.json	true	Milwaukee County Sheriff David A. Clarke Jr. advised citizens to point that barrel center mass and pull the trigger because 911 is not our best option.	crime,criminal-justice,guns,legal-issues	greater-wisconsin-political-fund		Wisconsin	none	3	3	3	1	1	a campaign TV ad
3627.json	false	Almost 37 percent of the total income from Planned Parenthood is from abortions.	abortion	ronald-renuart	State Representative	Florida	republican	0	1	0	0	0	comments during a committee hearing
11900.json	half-true	The United States has the highest rate of childhood poverty of almost any major country on Earth.	children,poverty	bernie-s	U.S. Senator	Vermont	independent	18	12	22	41	0	comments during the PBS Democratic debate
4611.json	true	Under Governor Almond the RI DMV had a program that allowed undocumented [people to] use their Personal Tax Identification Number . . . to apply [for] and receive a RI drivers license.	civil-rights,homeland-security,immigration,public-safety,transportation,workers	david-quiroa	prresident, Guatemalan-American Alliance of Rhode Island	Rhode Island	newsmaker	0	0	0	0	0	a news release
3168.json	pants-fire	Illegal aliens cost the state of Rhode Island $400 million a year.	census,crime,education,health-care,immigration,state-budget,taxes	terry-gorman	President, Rhode Islanders for Immigration Law Enforcement	Rhode Island	newsmaker	1	0	0	0	1	a radio interview
6832.json	pants-fire	Says Eric Cantor voted to assure Congress would be paid if the government shut down and against guaranteeing troops would be paid.	congressional-rules,federal-budget,military	wayne-powell	lawyer	Virginia	democrat	1	1	0	0	1	a debate.
5893.json	mostly-true	If Congress froze the current spending level and then cut it by 2 percent annually, we could balance the budget in five years.	deficit,federal-budget	jamie-radtke		Virginia	republican	1	1	1	2	0	a statement
3304.json	true	Every (Wisconsin) legislator that votes for this bill will have to give up the same amount of pay as other state employees.	labor,state-budget	jeff-fitzgerald	Incoming speaker of state Assembly	Wisconsin	republican	2	0	1	2	2	an interview on the Fox News Channel
1638.json	half-true	Marco Rubio controlled funds that out of the $600,000 that were raised, only $4,000 went to candidates to try to improve their chances to be elected to office."""
1280,mostly-true,Says Hillary Clintons campaign hasnt been clear about when she wiped herserverof her work emails.
1281,false,Says Rep. Jon Runyan voted to redefine rape.
1282,mostly-true,Ted Cruz is mathematically out of winning the race.
1283,true,John Paul Stevens is the only Protestant on the U.S. Supreme Court.
1284,mostly-true,Eighty percent of the antibiotics in this country are fed to livestock.
1285,false,"This year, Eric Cantor has received more money from oil companies than any other member of Congress."
1286,true,Says Rep. Steve Stockman basically wants gun-filled zones in schools.
1287,true,Says military expenditures for the United States are greater than the combined spending of the next 14 largest nations.
1288,false,"The Iran deal says that if any other country tries to undermine (Irans) nuclear program, we have to help them defend themselves against Israel, Egypt, Saudis, our own allies."
1289,barely-true,"Rick Scotts Administration spent over $100,000 of taxpayer money during their first voter purge attempt in 2012."
1290,true,We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.
1291,half-true,The Agriculture Department estimates that roughly 42 percent of the corn crop will be used to make ethanol -- more than the amount of corn used to feed livestock and poultry in the United States.
1292,barely-true,"In 1913, it was legal to mail children."
1293,false,"Tonight in Ohio, more people came out to vote for Barack Obama in an unopposed race than voted for (Mitt) Romney and (Rick) Santorum combined."
1294,mostly-true,"Democrats compare the infrastructure programs in the stimulus to the Eisenhower interstate program, ""but he proposed a $500 billion highway system, and they're going to put $30 billion"" into roads and bridges."
1295,half-true,Congressman (Tom) Cotton is the only Arkansan in Congress -- Democrat or Republican -- to vote against disaster relief five times.
1296,true,The U.S. Navy has sailed ships around the world for 60 years with nuclear power plants on them and we've never had an accident.
1297,true,No openly gay man has ever been elected to the Georgia Legislature.
1298,pants-fire,"U.S. Reps. Eric Cantor and Luis Gutierrez were touring the country last year joined at the hip, working together in a bipartisan fashion indeed for the goal of immigration reform."
1299,false,The $5 billion website for Obamacare never worked. Still doesnt work.
1300,mostly-true,It takes almost a year for a refugee to be processed in the United States.
1301,true,"Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills."
1302,false,"In North Carolina, they used stimulus money to hire one new state worker. His job, apply for more stimulus funds from the taxpayers by the way of the federal government."
1303,mostly-true,"If Sen. Hillary Clinton could enact all of her campaign proposals, taxpayers would be faced with financing more than $777.6-billion in new spending over one White House term."
1304,false,"Dan Gecker voted to double vehicle registration fees, costing (Chesterfield) county residents over $6 million annually."
1305,half-true,"A lot of people don't know that 50,000 Americans now make their living off eBay."
1306,pants-fire,I dont know anything about David Duke.
1307,pants-fire,80 to 85 percent of my campaign funds go to donations to various organizations throughout the City of Providence.
1308,true,Only 3 percent of voters 18 to 34 dont believe that climate change is really happening.
1309,mostly-true,Says U.S. Senate candidate Joni Ernst does not support a national minimum wage.
1310,pants-fire,Birthers have obtained a copy of Obamas Kenyan birth certificate.
1311,barely-true,Keystone means unlocking the Canadian tar sands.
1312,pants-fire,"The working tax cut created over 40,000 new jobs in just the last four years."
1313,true,There are at least twice as many licensed firearm dealers in California as there are McDonalds.
1314,false,I played in a game here against the Pittsburgh Steelers where there was 23 inches of snow. We played in at least 15 inches of that.
1315,barely-true,It is the Department of Homeland Security's view that returning military veterans and gun owners are likely to commit terrorist acts.
1316,barely-true,Data on violent crime shows Wisconsin has become less safe than it was when Scott Walker took office.
1317,mostly-true,The Boston Marathon bombing is the fifth case in which U.S. government officials examined individuals potentially involved in terrorism and felt they were no threat and they went on to carry out terrorist murders.
1318,mostly-true,"In 2006, Donald Trump was hoping for a real estate crash."
1319,true,The Republican leadership's budget proposal doesn't contain any numbers.
1320,true,Says 1 in 7 American families is on food stamps.
1321,mostly-true,"The Kenosha casino would be one of the states largest employers and pay more to the state than any other company or Tribe essentially, it would be Wisconsins biggest taxpayer."
1322,true,Our race was the closest U.S. Senate race in Ohio in 36 years -- when Howard Metzenbaum defeated Robert Taft in 1976.
1323,barely-true,"We have drawn down to presurge levels. Basra, Mosul and now Sadr City are quiet and it's long and it's tough and there will be setbacks."
1324,half-true,"Says Austins treated wastewater, put into the Colorado River, is of higher quality than water the city takes from the lake for public use."
1325,false,"An amendment to the House health reform bill ""puts new restrictions on women's access to abortion coverage in the private health insurance market even when they would pay premiums with their own money."""
1326,true,"As president, Barack Obama has never visited Israel."
1327,false,Were the worst state in the country at moving people from welfare to work.
1328,half-true,Says the private sector in Texas created 1 million jobs over the past decade.
1329,barely-true,Pentagon confirms they may court martial soldiers who hold Christian faith.
1330,true,Cobb is one of the largest school systems (in the nation) that is debt free.
1331,false,Weve got more revenue than we ever have.
1332,mostly-true,"Between 2010 and 2014, there was no net in-migration from Mexico."
1333,true,The Social Security disability fund is going belly up in 2016.
1334,true,"A shocking 20 veterans are committing suicide each and every day, especially our older veterans."
1335,mostly-true,"Today, the five largest financial institutions are 38 percent bigger than they were back in 2008, when they were too big to fail."
1336,mostly-true,"The House did vote against engagement in Kosovo, and Bill Clinton kept fighting anyway. And, then, ultimately, a vote did pass."
1337,true,Did you know that the U.S. is one of the very few nations in the world without an official language?
1338,barely-true,"Every time weve increased the minimum wage, weve seen a growth in jobs."
1339,true,The Florida Legislature raised taxes and fees by almost $2 billion in the 2009 session.
1340,true,We have more people working in clean and green energy than in oil and gas in this country.
1341,mostly-true,"Florida has 1,200 golf courses. I think 58 million rounds played a year in Florida. Weve got 44 percent of all travel golf in the country here. 5 million people come here just for golf."
1342,pants-fire,Says Hillary Clinton had an undercover nurse with her at the Sept. 11 memorial ceremony in New York.
1343,mostly-true,Only 50 percent of students from Milwaukee public high schools go on to a two-or four-year college.
1344,true,The fastest-growing part of the Pentagons budget are health care expenses.
1345,mostly-true,"Inflation-adjusted defense spending has declined 21 percent since 2010, and even if we discount the drawdowns in Iraq and Afghanistan, it has still declined by a dangerous 12 percent."
1346,mostly-true,"According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States."
1347,mostly-true,The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.
1348,true,"Fireworks have never been safer, and their use continues to increase each year."
1349,mostly-true,Says Donald Trump and Ron Johnson oppose a womans right to choose and Johnson voted against the Violence Against Women Act.
1350,half-true,"Says over 40 percent of recent county bonds are for Precinct One, northeast Travis County, because he is quick to identify projects that help make the East Side a desirable place to live."
1351,false,Medicare passed with virtually no Republican support.
1352,false,Says Wisconsin state Senate President Michael Elllis (R-Neenah) broke Senate rules during debate on a photo ID bill for voters.
1353,pants-fire,Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly.
1354,barely-true,Its warmer on Mars than it is in parts of the United States and Canada during the polar vortex.
1355,barely-true,"Says the Department of Homeland Security has ordered enough rounds of .40 caliber ammunition to kill every man, woman and child in the United States, possibly to combat massive civil unrest or an invasion by a foreign power."
1356,pants-fire,"If a President Romney got a call from the president of the (Mormon church), he has no choice but to obey. It is obedience over family and country."
1357,barely-true,Under Gov. Rick Perrys leadership [Texas] has created more jobs over the last decade than the rest of the states combined.
1358,half-true,Says Scott Bruun supports cutting the Department of Commerce and eliminating NOAA.
1359,barely-true,Says only 25 percent of Texas high school students graduate prepared for college or careers.
1360,pants-fire,"Blue Cross new $90-million Providence headquarters ""was outfitted with $25 million in decor."""
1361,half-true,"Nationally, the unemployment rate for veterans is far greater than the national unemployment rate, and Wisconsin is one of those rare examples where unemployment is actually lower for veterans than it is for the population as a whole and certainly lower than it is nationally."
1362,barely-true,"Under Pat McCrory, (North Carolina) has fallen to 41st in teacher pay."
1363,true,"More than 27,000 Rhode Island jobs depend on trade with Canada."
1364,false,"I have had to fill out FEC reports for the past six years now, and theyre much more detailed than a tax return..."
1365,false,Says Wisconsin Attorney General J.B. Van Hollen knew about (the Ken Kratz sexting) case for nearly a year and did nothing about it.
1366,barely-true,"He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation."
1367,false,"An Environmental Protection Agency regulation that goes into effect Jan. 1, 2012, regulates dust."
1368,false,More businesses went out of business last year than were started for the first time in our history.
1369,pants-fire,Says Hillary Clinton has not answered a single question about her immigration plan.
1370,mostly-true,Says Donald Trump literally has no plans to make higher education more affordable.
1371,false,Says Houston National Cemetery is preventing Christian prayers from being said at military funerals.
1372,pants-fire,Was Martha Kanter dispatched to Corvallis with $17 million in stimulus money to save Craig Robinsons job?
1373,half-true,Franklin Roosevelt (was) the last president to come to the Congress to ask for permission to engage into war.
1374,true,Says the proposed fiscal year 2013 budget is still below the level of state spending when I took office.
1375,pants-fire,I asked (then-Secretary of State Condoleezza Rice) how many people had died and she did not know the answer to that question.
1376,mostly-true,"In Massachusetts, Scott Browns Republican affiliation is not a secret, but clearly not on display."
1377,true,"John McCain's top foreign policy adviser lobbied for... the Republic of Georgia, and McCain has mirrored the position advocated by the government."
1378,mostly-true,"Every month since 9/11, there have been as many suicide attacks against the United States and its allies as there were in all the years leading up to 9/11."
1379,mostly-true,Fifty percent of Speaker Gingrichs tax plan goes to the top 1 percent.
1380,half-true,Says Donald Trump promised the mass deportation of Latino families.
1381,barely-true,"Palin ""stopped the Bridge to Nowhere."""
1382,mostly-true,Says the state tax burden per citizen in New York is twice as high as in Florida.
1383,false,Two thirds of the people in Wisconsin strongly disagree with this idea of permanently taking away peoples rights to collective bargaining.
1384,half-true,Says Eric Cantor was the co-author of the House GOP principles on immigration reform. Both the New York Times and the Washington Postsaid that thatcaptured the essence of what was in the Senate immigration bill.
1385,true,Wisconsins 6th congressional district has more manufacturing jobs than almost any other in the nation.
1386,pants-fire,I lost my health insurance and my doctor because of Obamacare.
1387,barely-true,"As far as standing committees, we have 10 fewer standing committees. So weve saved the state about a quarter-of-a-million dollars through the reduction of the standing committees."
1388,mostly-true,"(Obamas) entire national security team, including his secretary of state, said we want to arm and train and equip (Syrian rebel forces), and he made the unilateral decision to turn them down."
1389,pants-fire,"Governor-elect Scott Walkers opposition to high-speed rail killed 13,000 Wisconsin jobs"
1390,false,The only candidate pocketing big money from people who want to destroy coal is Mitch McConnell.
1391,mostly-true,"The Trans-Pacific Partnership knocks out 18,000 tariffs that other countries place on American products and goods."
1392,true,$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.
1393,mostly-true,Tommy Thompson wanted to implant data chips in humans.
1394,mostly-true,Says New Jersey is 50th in return of our federal tax dollars.
1395,true,Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals in 2014.
1396,mostly-true,The U.S. Senate has one manufacturer thatd be me.
1397,mostly-true,"Because of the health care law, by 2017, we will be funneling over $100 billion annually to private insurance companies."
